method,mode,atom,base,heldout,frac,dose,dt,clamped,amplitude,radius,c_tan,delta_norm,h_norm,delta_frac,off_manifold,validity_radius,within_validity,predicted_nats,predicted_nats_pathint,predicted_nats_tangent,measured_kl
manifold,on_chart,0,1,False,0.05,0.05,3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.323705446508612,4369.6938216227745,0.0007606266210373263,7.624040857000838e-13,0.0476897262383176,False,5.450852209770324e-05,9.007532317942514,4.95190248909076e-05,6.42392918075705e-05
linear_norm,on_chart,0,1,False,0.05,0.05,,,,,,3.323705446508612,4369.6938216227745,,,,,0.00021720680195224716,,,2.579382540210754e-05
linear_fisher,on_chart,0,1,False,0.05,0.05,,,,,,3.323705446508612,4369.6938216227745,,,,,2.518958909935024e-05,,,2.579382540210754e-05
manifold,on_chart,0,1,False,0.05,-0.05,-3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.401071828474469,4369.6938216227745,0.0007783318390970038,7.70246175551577e-13,0.0476897262383176,False,5.935263105974067e-05,9.008249689902225,5.185117886020084e-05,6.9281863906233e-05
linear_norm,on_chart,0,1,False,0.05,-0.05,,,,,,3.401071828474469,4369.6938216227745,,,,,0.00022743639969667766,,,2.8199633153957695e-05
linear_fisher,on_chart,0,1,False,0.05,-0.05,,,,,,3.401071828474469,4369.6938216227745,,,,,2.637592102596499e-05,,,2.8199633153957695e-05
manifold,on_chart,0,1,False,0.1,0.1,3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.323705446508612,4369.6938216227745,0.0007606266210373263,7.624040857000838e-13,0.0476897262383176,False,5.450852209770324e-05,9.007532317942514,4.95190248909076e-05,6.42392918075705e-05
linear_norm,on_chart,0,1,False,0.1,0.1,,,,,,3.323705446508612,4369.6938216227745,,,,,0.00021720680195224716,,,2.579382540210754e-05
linear_fisher,on_chart,0,1,False,0.1,0.1,,,,,,3.323705446508612,4369.6938216227745,,,,,2.518958909935024e-05,,,2.579382540210754e-05
manifold,on_chart,0,1,False,0.1,-0.1,-3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.401071828474469,4369.6938216227745,0.0007783318390970038,7.70246175551577e-13,0.0476897262383176,False,5.935263105974067e-05,9.008249689902225,5.185117886020084e-05,6.9281863906233e-05
linear_norm,on_chart,0,1,False,0.1,-0.1,,,,,,3.401071828474469,4369.6938216227745,,,,,0.00022743639969667766,,,2.8199633153957695e-05
linear_fisher,on_chart,0,1,False,0.1,-0.1,,,,,,3.401071828474469,4369.6938216227745,,,,,2.637592102596499e-05,,,2.8199633153957695e-05
manifold,on_chart,0,1,False,0.2,0.2,3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.323705446508612,4369.6938216227745,0.0007606266210373263,7.624040857000838e-13,0.0476897262383176,False,5.450852209770324e-05,9.007532317942514,4.95190248909076e-05,6.42392918075705e-05
linear_norm,on_chart,0,1,False,0.2,0.2,,,,,,3.323705446508612,4369.6938216227745,,,,,0.00021720680195224716,,,2.579382540210754e-05
linear_fisher,on_chart,0,1,False,0.2,0.2,,,,,,3.323705446508612,4369.6938216227745,,,,,2.518958909935024e-05,,,2.579382540210754e-05
manifold,on_chart,0,1,False,0.2,-0.2,-3.052142479252326,True,0.22630150806513424,1.905399009929537,8.965138892848814e-06,3.401071828474469,4369.6938216227745,0.0007783318390970038,7.70246175551577e-13,0.0476897262383176,False,5.935263105974067e-05,9.008249689902225,5.185117886020084e-05,6.9281863906233e-05
linear_norm,on_chart,0,1,False,0.2,-0.2,,,,,,3.401071828474469,4369.6938216227745,,,,,0.00022743639969667766,,,2.8199633153957695e-05
